"","Estimate","Std.Error"
"log_trun",12.2474819015286,0.127481188086362
"log_trun.1",12.5160174277681,0.161689829650419
"log_trun.2",12.3461482344014,0.110298828300493
"log_trun.3",12.3842019310678,0.152649747447968
"log_trun.4",12.5899453698602,0.221465750991881
"log_trun.5",12.6198696509808,0.147180342752486
"log_trun.6",11.8786476728585,0.070059849307118
"log_trun.7",11.9183766018588,0.103277816771721
"log_trun.8",12.0887231250867,0.121636381236798
"log_trun.9",11.8512979268033,0.0980799135084782
"log_trun.10",11.6726925197384,0.137829940384938
"log_trun.11",12.0669922349429,0.108110233784437
"log_trun.12",12.2400708327294,0.073247823957975
"log_trun.13",12.2761788557296,0.102179874950755
"log_trun.14",12.4988219411535,0.0772502809794296
"log_trun.15",12.2746809196468,0.0836095142508708
"log_trun.16",12.4671816663761,0.0718477907897614
"log_trun.17",12.5221771303622,0.100451209109435
"log_trun.18",12.8995559504996,0.139198448910298
"log_trun.19",12.8501787810247,0.112695084862991
"log_trun.20",12.5887097632489,0.115020727998235
"log_trun.21",12.6188152594369,0.102901580070495
"log_trun.22",12.1530669980662,0.141775434966375
"log_trun.23",11.9749008092128,0.103087380405032
"log_trun.24",11.7553296625866,0.0602519671916014
"log_trun.25",12.2292012500834,0.0810803159139286
"log_trun.26",12.3073455755357,0.0714384561078017
"log_trun.27",12.3493630756866,0.0556012154555774
"log_trun.28",12.7912011152538,0.0617921800756369
"log_trun.29",12.6896469697264,0.0527068575527111
"log_trun.30",12.6954818540603,0.0582216499660746
"log_trun.31",12.4307136192444,0.0485340875440074
"log_trun.32",12.2514203091884,0.0572703897443282
"log_trun.33",12.1242544566063,0.0603125003571503
"log_trun.34",11.6300726542906,0.0449958982505547
"log_trun.35",11.6520215460803,0.0529302980304241
"log_trun.36",11.3358093898213,0.0994833783960917
"log_trun.37",11.3298094769814,0.0487384238436446
"log_trun.38",11.3869092962138,0.0739890627856535
"log_trun.39",11.7401431379951,0.0617165388433225
"log_trun.40",11.780552397631,0.0695437990698195
"log_trun.41",11.7830538177421,0.0748403955056085
"log_trun.42",11.776916672725,0.105848201229667
"log_trun.43",12.2824637296537,0.10378691844513
"log_trun.44",11.6825839614203,0.0872834198213165
"log_trun.45",11.6712735247205,0.124255440500736
"log_trun.46",11.7966308752497,0.121824520334065
"log_trun.47",11.7258921440875,0.102031255193503
"log_wesc",2.71733062663052,0.0907563687890742
"log_wesc.1",5.03559828079132,0.0824661239663087
"log_wesc.2",3.88297809152943,0.100078181381087
"log_wesc.3",3.51299817814303,0.0789446338150007
"log_wesc.4",2.61081470132044,0.0739548118111634
"log_wesc.5",4.18770864235015,0.086860410523742
"log_wesc.6",5.77336366106323,0.0832450910795163
"log_aesc",4.38099994674332,0.180096300206061
"log_aesc.1",5.13155633412276,0.124404832799899
"log_aesc.2",6.05150799250425,0.189309484669576
"log_aesc.3",5.32586223515042,0.114728905524476
"log_aesc.4",4.98279117455843,0.121765162067921
"log_aesc.5",4.05984601013168,0.127511274977748
"log_aesc.6",6.22551655455737,0.138609928823454
"log_aesc.7",6.43796674464991,0.127825079303496
"log_aesc.8",4.52572158738494,0.131595948492075
"log_aesc.9",5.36431467017496,0.122648904448836
"log_aesc.10",5.8017971688182,0.121621300137789
"log_aesc.11",6.47711298701037,0.153673452940446
"log_aesc.12",6.21025638557417,0.134743457889802
"log_aesc.13",4.78583746041497,0.111729537941593
"log_cvw",-1.15752517565123,0.0680672786028654
"log_cva",-0.455074210067674,0.048339932662139
"log_q",-9.44732002600146,0.158021964214722
"log_q.1",-11.0286628224258,0.158021958216473
"log_cvq",-0.77151117388831,0.206025249659968
"t_run",208455.715406241,26574.1822633802
"t_run.1",272669.966185431,44087.9603833078
"t_run.2",230072.150008302,25376.688570491
"t_run.3",238995.96097097,36482.673083303
"t_run.4",293591.718875615,65020.5105057853
"t_run.5",302510.011260316,44523.5271433518
"t_run.6",144155.473449422,10099.5107466627
"t_run.7",149997.904331703,15491.4560797118
"t_run.8",177854.863856748,21633.6220248982
"t_run.9",140266.284449741,13757.3050469862
"t_run.10",117323.753906681,16170.7260066949
"t_run.11",174031.611144944,18814.5981667621
"t_run.12",206916.546246816,15156.186753479
"t_run.13",214524.419722311,21920.0783811089
"t_run.14",268021.355535831,20704.7250236305
"t_run.15",214203.316409515,17909.4352359251
"t_run.16",259673.841405476,18656.9918308743
"t_run.17",274354.715534063,27559.2629002716
"t_run.18",400134.47236225,55698.0979083656
"t_run.19",380856.819265508,42920.6915677752
"t_run.20",293229.17903119,33727.4336424922
"t_run.21",302191.215359868,31095.9535439538
"t_run.22",189674.931311086,26891.2458888466
"t_run.23",158720.616897287,16362.0926122121
"t_run.24",127430.916146017,7677.96337882555
"t_run.25",204679.628949137,16595.4889763417
"t_run.26",221315.723812163,15810.4536215216
"t_run.27",230812.985651174,12833.482545136
"t_run.28",359044.320489821,22186.1313068417
"t_run.29",324372.222331713,17096.6405164939
"t_run.30",326270.429253546,18996.0027262809
"t_run.31",250374.636024186,12151.7045035968
"t_run.32",209278.317801018,11985.4508255017
"t_run.33",184287.894273987,11114.8636892183
"t_run.34",112428.490024282,5058.82089759612
"t_run.35",114923.451442702,6082.93253554721
"t_run.36",83768.2544753434,8333.54895755069
"t_run.37",83267.1570235029,4058.30999126679
"t_run.38",88160.0592282911,6522.88015742896
"t_run.39",125510.30402834,7746.06155380224
"t_run.40",130685.950246241,9088.397465173
"t_run.41",131013.25990925,9805.08418808733
"t_run.42",130211.674772076,13782.6715537266
"t_run.43",215876.924362531,22405.2007429996
"t_run.44",118490.013461589,10342.2135896013
"t_run.45",117157.390146999,14557.4431206319
"t_run.46",132804.164570405,16178.8036471558
"t_run.47",123734.342118165,12624.7702368588
"esc",117908.715406241,26574.1822633802
"esc.1",178962.966185431,44087.9603833078
"esc.2",146600.150008302,25376.688570491
"esc.3",142693.96097097,36482.673083303
"esc.4",196623.718875615,65020.5105057853
"esc.5",192111.011260316,44523.5271433518
"esc.6",37154.4734494216,10099.5107466627
"esc.7",67852.9043317035,15491.4560797118
"esc.8",88678.8638567481,21633.6220248982
"esc.9",58339.2844497407,13757.3050469862
"esc.10",46711.7539066806,16170.7260066949
"esc.11",69788.6111449441,18814.5981667621
"esc.12",79153.5462468161,15156.186753479
"esc.13",88371.4197223113,21920.0783811089
"esc.14",103835.355535831,20704.7250236305
"esc.15",101055.316409515,17909.4352359251
"esc.16",128400.841405476,18656.9918308743
"esc.17",174843.715534063,27559.2629002716
"esc.18",277504.47236225,55698.0979083656
"esc.19",245938.819265508,42920.6915677752
"esc.20",187718.17903119,33727.4336424922
"esc.21",210810.215359868,31095.9535439538
"esc.22",89458.9313110864,26891.2458888466
"esc.23",80890.616897287,16362.0926122121
"esc.24",59197.9161460175,7677.96337882555
"esc.25",126204.628949137,16595.4889763417
"esc.26",139654.723812163,15810.4536215216
"esc.27",162710.985651174,12833.482545136
"esc.28",258403.320489821,22186.1313068417
"esc.29",232596.222331713,17096.6405164939
"esc.30",231885.429253546,18996.0027262809
"esc.31",153514.636024186,12151.7045035968
"esc.32",110373.317801018,11985.4508255017
"esc.33",96353.8942739875,11114.8636892183
"esc.34",41764.4900242825,5058.82089759612
"esc.35",50894.4514427023,6082.93253554721
"esc.36",60276.2544753434,8333.54895755069
"esc.37",35779.1570235029,4058.30999126679
"esc.38",76394.0592282911,6522.88015742896
"esc.39",108906.30402834,7746.06155380224
"esc.40",99470.9502462408,9088.397465173
"esc.41",114343.25990925,9805.08418808733
"esc.42",107480.674772076,13782.6715537266
"esc.43",177372.924362531,22405.2007429996
"esc.44",82289.0134615889,10342.2135896013
"esc.45",88406.3901469991,14557.4431206319
"esc.46",98289.1645704046,16178.8036471558
"esc.47",86357.3421181654,12624.7702368588
