"","Estimate","Std.Error"
"log_trun",12.2203779151694,0.130490139500143
"log_trun.1",12.6870393146641,0.1771700909588
"log_trun.2",12.3788992840687,0.117699325383415
"log_trun.3",12.3847048428201,0.166880144793057
"log_trun.4",12.8046088447959,0.251309049416272
"log_trun.5",12.6534855483046,0.162624307554804
"log_trun.6",11.8741372648721,0.0755840439656663
"log_trun.7",11.9083258297126,0.104054481818612
"log_trun.8",12.0645621801597,0.125401192985245
"log_trun.9",11.8859636815081,0.107672154286024
"log_trun.10",11.7322549439853,0.147277474596831
"log_trun.11",12.1089304124605,0.115478763177091
"log_trun.12",12.2469154750886,0.079593503690753
"log_trun.13",12.2769272178578,0.102103541344891
"log_trun.14",12.5033738330172,0.0829452529898425
"log_trun.15",12.283332998664,0.0891999611888018
"log_trun.16",12.4692377319994,0.0769535370142692
"log_trun.17",12.520680949602,0.101857044444331
"log_trun.18",12.9030741598819,0.136790391815436
"log_trun.19",12.8253092647979,0.109937712712494
"log_trun.20",12.634578104773,0.121818657178317
"log_trun.21",12.5947388989951,0.103212758986102
"log_trun.22",12.1594936689603,0.136498054053166
"log_trun.23",11.982099570506,0.108454384478195
"log_trun.24",11.7641522182667,0.0670633439112917
"log_trun.25",12.2287741510671,0.0866815337541316
"log_trun.26",12.3207946508279,0.0761594043831409
"log_trun.27",12.3780873437524,0.0807666175744114
"log_trun.28",12.7865750658069,0.0762526624045617
"log_trun.29",12.7130989116728,0.0768298222545484
"log_trun.30",12.6523341510532,0.071526171273071
"log_trun.31",12.434995770484,0.0689349194728026
"log_trun.32",12.2747501676739,0.0634039170878332
"log_trun.33",12.1464084139332,0.0667124887208065
"log_trun.34",11.63689794009,0.0547971333177038
"log_trun.35",11.6413132604583,0.0595806778520304
"log_trun.36",11.2784106667659,0.100502473064863
"log_trun.37",11.3431464172664,0.0567432231297292
"log_trun.38",11.3766069886582,0.0853477864563927
"log_trun.39",11.6878136718241,0.0404686589334551
"log_trun.40",11.785980196742,0.0662354983598851
"log_trun.41",11.7873675250248,0.0667328787209744
"log_trun.42",11.9038977085408,0.0508414122001948
"log_trun.43",12.2129082146254,0.0540160916167616
"log_trun.44",11.7932340952616,0.0502350840358388
"log_trun.45",11.7417973521818,0.062543593525019
"log_trun.46",11.9199868986988,0.070924924399752
"log_trun.47",11.6908414799746,0.0594983805747571
"log_wesc",2.72413026037823,0.0960634090390461
"log_wesc.1",5.03679807184801,0.0902033117028205
"log_wesc.2",3.92165229247615,0.0998033552922593
"log_wesc.3",3.53054827068457,0.079429694293245
"log_wesc.4",2.63053471565355,0.0752246264424827
"log_wesc.5",4.18710711413476,0.0946061200298275
"log_wesc.6",5.79062607715275,0.0848528751672093
"log_wesc.7",3.13410647967521,0.114313573293702
"log_aesc",4.43178936931573,0.180227065730642
"log_aesc.1",5.14259965386027,0.12416292098804
"log_aesc.2",6.11334289257911,0.191258521121289
"log_aesc.3",5.35082790415845,0.114456483331416
"log_aesc.4",4.99212923231143,0.121617130205476
"log_aesc.5",4.07518270952895,0.1264701770295
"log_aesc.6",6.2321464445777,0.13725985079792
"log_aesc.7",6.44363706883886,0.127500883441191
"log_aesc.8",4.53663837104899,0.130216809666639
"log_aesc.9",5.38391041329541,0.121735863453428
"log_aesc.10",5.81470528740459,0.121570557219271
"log_aesc.11",6.49598277714253,0.152020253301201
"log_aesc.12",6.22640027565605,0.133504567422132
"log_aesc.13",4.79898566972948,0.111216682278549
"log_cvw",-1.08033647188452,0.0667816554324679
"log_cva",-0.460852206423643,0.0477639753667084
"log_q",-9.49028838296725,0.148237263967241
"log_q.1",-10.0347093586011,0.086318201659856
"log_cvq",-0.865416424468686,0.136900707904092
"mq",0.155975611939273,0.0566426030870004
"log_fl",0.907192685347477,0.132786169833654
"log_fl.1",1.33176322811506,0.180968449551175
"log_fl.2",1.1112865817266,0.121808986107549
"log_fl.3",0.997598857344845,0.169759583005498
"log_fl.4",1.41813407935343,0.254303772404232
"log_fl.5",1.12545872160047,0.166062118203337
"log_fl.6",0.374119971652665,0.0697908992712038
