"","Estimate","Std.Error"
"log_trun",12.2203771885374,NA
"log_trun.1",12.6870377760002,NA
"log_trun.2",12.3788982153753,NA
"log_trun.3",12.3847034461914,NA
"log_trun.4",12.8046052145917,NA
"log_trun.5",12.6534842084664,NA
"log_trun.6",11.8741368230221,NA
"log_trun.7",11.9083252001122,NA
"log_trun.8",12.064561496431,NA
"log_trun.9",11.885963006309,NA
"log_trun.10",11.7322538972577,NA
"log_trun.11",12.1089296145104,NA
"log_trun.12",12.2469148124796,NA
"log_trun.13",12.2769266231675,NA
"log_trun.14",12.5033730236175,NA
"log_trun.15",12.2833324090939,NA
"log_trun.16",12.469237334699,NA
"log_trun.17",12.5206794891578,NA
"log_trun.18",12.9030728475756,NA
"log_trun.19",12.825308237457,NA
"log_trun.20",12.6345773175409,NA
"log_trun.21",12.5947384612522,NA
"log_trun.22",12.1594928224418,NA
"log_trun.23",11.9820987611879,NA
"log_trun.24",11.764151754845,NA
"log_trun.25",12.2287733371775,NA
"log_trun.26",12.3207939106391,NA
"log_trun.27",12.3780868800236,NA
"log_trun.28",12.7865744219111,NA
"log_trun.29",12.7130979090058,NA
"log_trun.30",12.6523336233133,NA
"log_trun.31",12.43499500278,NA
"log_trun.32",12.2747497482424,NA
"log_trun.33",12.1464076122073,NA
"log_trun.34",11.6368973142559,NA
"log_trun.35",11.6413129298902,NA
"log_trun.36",11.2784102301126,NA
"log_trun.37",11.3431459722315,NA
"log_trun.38",11.3766059961688,NA
"log_trun.39",11.6878132907098,NA
"log_trun.40",11.7859799318261,NA
"log_trun.41",11.7873671300254,NA
"log_trun.42",11.9038971795118,NA
"log_trun.43",12.2129080869187,NA
"log_trun.44",11.7932338116507,NA
"log_trun.45",11.7417972554432,NA
"log_trun.46",11.9199866418327,NA
"log_trun.47",11.690841016437,NA
"log_wesc",2.72412944392286,NA
"log_wesc.1",5.036797053813,NA
"log_wesc.2",3.92165165065488,NA
"log_wesc.3",3.53054733750388,NA
"log_wesc.4",2.63053362640003,NA
"log_wesc.5",4.18710612455522,NA
"log_wesc.6",5.79062536496935,NA
"log_wesc.7",3.13410535786891,NA
