"","Estimate","Std.Error"
"log_trun",12.1975933534743,0.125369623355568
"log_trun.1",12.6695281254528,0.175616253788164
"log_trun.2",12.3620366246267,0.114887895689014
"log_trun.3",12.3665164997416,0.160941875226248
"log_trun.4",12.7873846022498,0.249661279668927
"log_trun.5",12.6343150669675,0.157951620722318
"log_trun.6",11.8664756071323,0.0667150934593955
"log_trun.7",11.8959066118067,0.0999860404814867
"log_trun.8",12.0450898918263,0.119027043952878
"log_trun.9",11.8699397965814,0.101811470254196
"log_trun.10",11.719839564647,0.144413867810451
"log_trun.11",12.0973020261805,0.112047415568898
"log_trun.12",12.2380634361449,0.0729997729678665
"log_trun.13",12.2668896032732,0.09747819739185
"log_trun.14",12.4944388138981,0.0765731011817886
"log_trun.15",12.2716527447877,0.0836311312126839
"log_trun.16",12.4567475407669,0.0714561633192619
"log_trun.17",12.5112853785008,0.0987066674741927
"log_trun.18",12.8970996541499,0.134050900458379
"log_trun.19",12.8110366107763,0.107065753616129
"log_trun.20",12.6094182860069,0.117152514081092
"log_trun.21",12.5817525427979,0.100115725569719
"log_trun.22",12.1480653069988,0.1335021769384
"log_trun.23",11.9708195133077,0.102927913835479
"log_trun.24",11.7522560193503,0.0611961705748416
"log_trun.25",12.2167567820996,0.0823474306559564
"log_trun.26",12.3013824543785,0.0726444370753276
"log_trun.27",12.3460661759057,0.0559355189289477
"log_trun.28",12.7931004908719,0.0620714527746651
"log_trun.29",12.6857826612618,0.0527242873393457
"log_trun.30",12.6829447073446,0.058275414571566
"log_trun.31",12.4268837597366,0.0489735066657378
"log_trun.32",12.2558110844219,0.058739453133968
"log_trun.33",12.1265093693736,0.0618407869628455
"log_trun.34",11.6261390602738,0.0457154831982487
"log_trun.35",11.6353203270202,0.0524436062244663
"log_trun.36",11.2738916277208,0.0966680032164986
"log_trun.37",11.3281277214176,0.0494682232086667
"log_trun.38",11.3394458353125,0.0742070273337158
"log_trun.39",11.7474196113184,0.0613194518083182
"log_trun.40",11.7891545784251,0.0684641829948382
"log_trun.41",11.7972375011063,0.0743585564638241
"log_trun.42",11.7780505542656,0.102335654816134
"log_trun.43",12.2270643760802,0.0996681820757452
"log_trun.44",11.6927378170006,0.0848953966479684
"log_trun.45",11.6539926163375,0.116403457836913
"log_trun.46",11.6058367844399,0.106282539439032
"log_trun.47",11.7396954739112,0.0973693415288876
"log_wesc",2.68826259041147,0.0933513135838725
"log_wesc.1",5.023423483774,0.0846434632665688
"log_wesc.2",3.85987251212949,0.102780841634368
"log_wesc.3",3.49086628813448,0.0807835150854516
"log_wesc.4",2.59046488747309,0.0755357621894581
"log_wesc.5",4.17563559265074,0.0893924801690229
"log_wesc.6",5.76176367811138,0.0851912220403809
"log_wesc.7",3.06000343133624,0.121604672152226
"log_aesc",4.3954958595062,0.179696333291284
"log_aesc.1",5.11766053403973,0.124010047529302
"log_aesc.2",6.08936987266564,0.188897511305953
"log_aesc.3",5.32476800722443,0.114508907718616
