"","Estimate","Std.Error"
"log_trun",12.2474809954898,0.127481077752298
"log_trun.1",12.51601794522,0.161689943334306
"log_trun.2",12.3461478434121,0.11029880539567
"log_trun.3",12.3842012030034,0.152649645745415
"log_trun.4",12.5899445611314,0.22146563076722
"log_trun.5",12.6198682339918,0.147180186819517
"log_trun.6",11.8786479980689,0.0700599689509741
"log_trun.7",11.9183753252546,0.10327760222416
"log_trun.8",12.0887237561476,0.12163648872826
"log_trun.9",11.8512978384393,0.0980799068164493
"log_trun.10",11.6726919664574,0.137829777803639
"log_trun.11",12.0669926231076,0.108110363726883
"log_trun.12",12.2400716837644,0.0732479832726589
"log_trun.13",12.2761799135464,0.102180139770083
"log_trun.14",12.4988213178194,0.0772501656129732
"log_trun.15",12.2746808711562,0.0836095108306674
"log_trun.16",12.4671816701257,0.0718477928763117
"log_trun.17",12.5221755725859,0.10045108291488
"log_trun.18",12.8995553285778,0.139198415421069
"log_trun.19",12.8501787872431,0.112695100875542
"log_trun.20",12.5887094679987,0.115020690812273
"log_trun.21",12.618814847453,0.102901555171387
"log_trun.22",12.1530667668771,0.14177541141966
"log_trun.23",11.9749014359882,0.103087469159671
"log_trun.24",11.7553293268501,0.0602519251896013
"log_trun.25",12.2292011095379,0.0810803009096485
"log_trun.26",12.3073451685696,0.0714384272831877
"log_trun.27",12.3493628682084,0.0556012121462986
"log_trun.28",12.791200755018,0.0617921693429963
"log_trun.29",12.689646791486,0.0527068546243149
"log_trun.30",12.6954812307196,0.0582216333302754
"log_trun.31",12.4307130453935,0.0485340733303993
"log_trun.32",12.2514198731337,0.0572703513327884
"log_trun.33",12.124254091471,0.0603124651662225
"log_trun.34",11.6300712607814,0.0449957328464234
"log_trun.35",11.652020791532,0.0529302205861749
"log_trun.36",11.3358080677239,0.0994833110184581
"log_trun.37",11.3298084837393,0.0487383184584506
"log_trun.38",11.3869098622072,0.0739890666655588
"log_trun.39",11.7401431971807,0.0617165368771162
