"","Estimate","Std.Error"
"log_trun",12.2134508484686,0.13065944546703
"log_trun.1",12.6758615697896,0.178413945618182
"log_trun.2",12.3746899690228,0.118469268672091
"log_trun.3",12.3858580831799,0.167859820391625
"log_trun.4",12.798573110893,0.253127515914302
"log_trun.5",12.6533917161871,0.163665557305027
"log_trun.6",11.8745209587,0.0764075642809657
"log_trun.7",11.9058693521316,0.10501840829425
"log_trun.8",12.0577958973071,0.125351328273554
"log_trun.9",11.883198596923,0.108172098448119
"log_trun.10",11.733234138558,0.149344826362256
"log_trun.11",12.1000822470043,0.115708329010291
"log_trun.12",12.2442079694805,0.0799988338940379
"log_trun.13",12.2778560910637,0.103396798757067
"log_trun.14",12.5011666056973,0.0834205819403569
"log_trun.15",12.2827042537879,0.0897310415191137
"log_trun.16",12.4648226329225,0.0770857585669
"log_trun.17",12.5151432267951,0.102314797235916
"log_trun.18",12.901196864724,0.137833271348922
"log_trun.19",12.8184590953324,0.110469200158121
"log_trun.20",12.6360444440249,0.122294849746376
"log_trun.21",12.5923601206719,0.103753123396146
"log_trun.22",12.1611459548246,0.138347743333567
"log_trun.23",11.9770990610511,0.108578630640249
"log_trun.24",11.76444075163,0.0673404467338654
"log_trun.25",12.2278746428191,0.0869953209465746
"log_trun.26",12.3163778600302,0.07620514606946
"log_trun.27",12.3715946280024,0.0807836225083451
"log_trun.28",12.7821693979954,0.0762264096370319
"log_trun.29",12.7076106976937,0.0767369675447352
"log_trun.30",12.6488568738638,0.0714513804665243
"log_trun.31",12.4337620658576,0.0690037064292179
"log_trun.32",12.2716783572098,0.0634437334366392
"log_trun.33",12.1420673697653,0.0666310637402174
"log_trun.34",11.6357852933363,0.0548764670898151
"log_trun.35",11.6395282433647,0.0597038801841307
"log_trun.36",11.2752123486468,0.10096891457795
"log_trun.37",11.3406815763409,0.0567608296182741
"log_trun.38",11.3697225201901,0.0852190519729911
"log_trun.39",11.6867492247041,0.0404315537175912
"log_trun.40",11.7833938383819,0.0662159262819564
"log_trun.41",11.7842574594416,0.0667011940401425
"log_trun.42",11.9033384493942,0.0508668853968709
"log_trun.43",12.2104225751229,0.0540147706407119
"log_trun.44",11.7927378793972,0.0502801831068394
"log_trun.45",11.7420925947067,0.0625860416520508
"log_trun.46",11.9211155035376,0.0709665112460421
"log_trun.47",11.687861128261,0.0595344276526445
"log_trun.48",12.0160224255365,0.080920722532018
"log_wesc",2.7195769684677,0.0960909275868925
"log_wesc.1",5.03169019584014,0.0901166459979109
"log_wesc.2",3.91832776729072,0.100003663337476
"log_wesc.3",3.54770230372383,0.0776970416451114
"log_wesc.4",2.62575947277816,0.0750188814633604
"log_wesc.5",4.18234901285703,0.0945712931828575
"log_wesc.6",5.78690236780944,0.0847911542107304
"log_wesc.7",3.13242231938866,0.114743171904313
"log_aesc",4.42558347671315,0.182543343540977
"log_aesc.1",5.13856078872426,0.125513617689397
"log_aesc.2",6.10660840195044,0.1937103291393
"log_aesc.3",5.34648287187133,0.11556327751435
"log_aesc.4",5.02317748921748,0.120613503396581
"log_aesc.5",4.07133105679461,0.12788094431908
"log_aesc.6",6.19085668481023,0.135539385589847
"log_aesc.7",6.37418859653119,0.126228168091955
"log_aesc.8",4.54188411079641,0.128817826948451
"log_aesc.9",5.34426460345856,0.120705495686194
"log_aesc.10",5.77694772065672,0.120532024388821
"log_aesc.11",6.49164118566378,0.153989127389487
"log_aesc.12",6.22988955539476,0.131939897352246
"log_aesc.13",4.80727091909442,0.110559208266453
"log_cvw",-1.075342339759,0.0667203044423794
"log_cva",-0.442541455676139,0.0474323453023373
"log_q",-9.47868481853222,0.148049691593428
"log_q.1",-10.031858178706,0.0860521055346964
"log_cvq",-0.867331458303547,0.13694230785919
"mq",0.152365077537465,0.0566450731776591
"log_fl",0.903875187262899,0.132930569628036
"log_fl.1",1.32388623888908,0.182176095430662
"log_fl.2",1.10941241318849,0.122551421109174
"log_fl.3",1.00196062795894,0.170757202104596
"log_fl.4",1.41548591919582,0.256112761356089
"log_fl.5",1.12839007072523,0.167108242990246
"log_fl.6",0.377517810909277,0.070782679556172
"log_fl.7",0.679358985722369,0.105603330120641
"log_fl.8",0.762277314368097,0.126518809544107
"log_fl.9",0.650413958700341,0.108719232036546
"log_fl.10",0.680545235371868,0.150689253922034
"log_fl.11",0.644296683665846,0.116342011759906
"log_fl.12",0.572486180398682,0.0786013463730421
"log_fl.13",0.635808172018444,0.103284455719153
"log_fl.14",0.594717897695437,0.0824590194031883
"log_fl.15",0.780194827579194,0.0914156767730828
"log_fl.16",0.795897215938977,0.0789884379706364
"log_fl.17",1.18582321683023,0.107374089759387
"log_fl.18",1.33112139515863,0.142597640213534
"log_fl.19",1.15099438963749,0.114717356530708
"log_fl.20",1.22108494957227,0.127068121337102
"log_fl.21",1.35021429892771,0.109549568719379
"log_fl.22",0.781554068483549,0.139961618262128
"log_fl.23",0.854497264689836,0.110940046524206
"log_fl.24",0.785171849687694,0.0694353021285807
"log_fl.25",1.10728088683436,0.0917324258153245
"log_fl.26",1.18216853181913,0.0822979225882505
"log_fl.27",1.37631824619021,0.0881017186050378
"log_fl.28",1.42914891934838,0.0845874135937394
"log_fl.29",1.42101662194166,0.0848877823161761
"log_fl.30",1.35116082394835,0.079447264310389
"log_fl.31",1.09666735786598,0.0747700385149319
"log_fl.32",0.904924476052739,0.0675581859543898
"log_fl.33",0.897953931389261,0.0704511760983343
"log_fl.34",0.592094593296149,0.0527661901159567
"log_fl.35",0.731327909496819,0.0605416715602933
"log_fl.36",1.37100335991545,0.106749709968519
"log_fl.37",0.68485488498149,0.0568845052990205
"log_fl.38",2.24645947401756,0.0958990421656119
"log_fl.39",2.10108720831936,0.0628894703535774
"log_fl.40",1.58714801189039,0.0779596997943229
"log_fl.41",2.18419260697883,0.0810588868486841
"log_fl.42",2.01258164137772,0.0664600465299203
"log_fl.43",1.78342020335444,0.0676403128091481
"log_fl.44",1.43760175166832,0.0619594503040137
"log_fl.45",1.58629105556508,0.0734285498002677
"log_fl.46",1.58860894103022,0.080705335200136
"log_fl.47",1.24752929914622,0.0678745112055618
"log_fl.48",2.13457602284019,0.0919473085165457
"log_fu",2.60679039115509,0.222177672201448
"log_fu.1",3.31412175825395,0.247399300067746
"log_fu.2",3.36675783927754,0.181867036345094
"log_fu.3",2.88099222430539,0.268466082675226
"log_fu.4",3.41125418361415,0.337584598816307
"log_fu.5",3.12939692191074,0.245895325425198
"log_fu.6",1.63990294424831,0.222367175031301
"log_fu.7",2.32290028255142,0.212369138987823
"log_fu.8",2.37088470608565,0.235773439340854
"log_fu.9",2.34695228681317,0.225360691354494
"log_fu.10",2.07795846711286,0.302954729866144
"log_fu.11",2.12884681520547,0.242688430509537
"log_fu.12",2.13504388933899,0.178142719518347
"log_fu.13",2.11063077737016,0.21762891670735
"log_fu.14",2.01511908862055,0.181619446481666
"log_fu.15",2.10702984389103,0.166511251119325
"log_fu.16",2.29642773709734,0.141891282076048
"log_fu.17",2.45067604499023,0.15287201923398
"log_fu.18",2.86466543871704,0.192590558499374
"log_fu.19",2.6427830110809,0.166595125979202
"log_fu.20",2.67072766605055,0.178705498669184
"log_fu.21",2.67750716521324,0.146592702196016
"log_fu.22",2.10050471514386,0.256179927609003
"log_fu.23",2.19368993007394,0.191104432484644
"log_fu.24",1.96891493409013,0.124487619082003
"log_fu.25",2.52772380883435,0.13554457815159
"log_fu.26",2.46322383240253,0.116884553092085
"log_fu.27",3.03156785084653,0.11683647198076
"log_fu.28",2.85993782004268,0.10972219574253
"log_fu.29",3.0394029056147,0.110709337171067
"log_fu.30",2.83288085199705,0.105822757085723
"log_fu.31",2.55585001239836,0.110524412605662
"log_fu.32",2.28975678941755,0.110807064531677
"log_fu.33",2.24978103227593,0.116281236783703
"log_fu.34",1.81319719328609,0.114308841205496
"log_fu.35",1.8541565325772,0.11330614900916
"log_fu.36",2.84878879643176,0.142172813379766
"log_fu.37",2.10462125806147,0.111800313276774
"log_fu.38",3.40341131243105,0.106596707478079
"log_fu.39",3.96196254111681,0.0679422813023371
"log_fu.40",3.17633953169175,0.095769818545667
"log_fu.41",4.12116282628721,0.0898879159539856
"log_fu.42",3.75835297714631,0.0765715399582664
"log_fu.43",3.56191039072078,0.0810334013999316
"log_fu.44",3.04770660368833,0.0808918909099425
"log_fu.45",3.50281730415963,0.0921358291636265
"log_fu.46",3.44852024766556,0.101309089660801
"log_fu.47",3.29001105052093,0.0948159702536524
"log_fu.48",2.7674929920984,0.103838098765895
"t_run",205388.748395294,27202.5262338784
"t_run.1",327893.816140594,59020.5657790491
"t_run.2",242124.678909463,28958.6866936856
"t_run.3",244424.606325988,41549.8701457558
"t_run.4",371021.200850161,94724.4678886583
"t_run.5",319943.797457742,52932.4333014107
"t_run.6",144842.238268926,11272.2477440469
"t_run.7",150452.027782683,16055.2776739845
"t_run.8",175373.072859771,22331.039077143
"t_run.9",147016.776563234,16169.6023336654
"t_run.10",126540.517241596,19243.4686293205
