Year,n_H,H.0.2,H.1.1,H.0.3,H.1.2,H.0.4,H.2.1,H.1.3,H.2.2,H.1.4,H.2.3,H.1.5,H.2.4,H.1.6,H.2.5,n_E,E.0.2,E.1.1,E.0.3,E.1.2,E.0.4,E.2.1,E.1.3,E.2.2,E.1.4,E.2.3,E.1.5,E.2.4,E.1.6,E.2.5
1988,675,0,0.061102933,0.005091911,18.27206056,0.005091911,0,42.33494508,0.030551466,34.64560448,0.081470577,4.477518591,0.066194844,0.005091911,0,867,0,0,0,8,0,0,52.7,0,31.4,0,8,0,0,0
1989,383,0,0.071189904,0.005932492,16.95175676,0.005932492,0,35.38949823,1.25158553,40.89461241,0.581316103,3.948244187,0.841459331,0.005932492,0,217,0,0,0,14.7,0,0,25.3,0,58.1,0,1.8,0,0,0
1990,438,0,0.073345063,0.006112089,19.18255813,0.006112089,0,39.93702441,0.036672531,37.2031669,0.097793417,3.353309875,0.079457151,0.006112089,0,367,0,2.7,0,23.7,0,0,62.3,0,11.2,0,0.2,0,0,0
1991,450,0.067102435,0.072489581,0.006040798,16.62339554,0.006040798,0,37.49524455,0.673717925,40.66282075,0.599921038,3.120162315,0.514696208,0.006040798,0.167756088,661,0,0,0,7.206265815,0,0,29.0525244,1.131461622,59.94760815,0.579503555,1.696300759,0.251958067,0.025195807,0.109181829
1992,747,0,0.50438975,0.005796752,21.88694243,0.005796752,0,36.19803856,0.107251967,38.57303475,0.092748033,2.454984774,0.111593504,0.005796752,0,1646,0,4.259411457,0,31.55335191,0,0,30.55035696,0.369197284,31.57973185,0.087584886,1.406651576,0.05615532,0,0
1993,132,0,0.09922285,0.008268571,13.17098045,0.008268571,0,39.26089022,0.049611425,43.4846034,0.566491718,3.030182684,0.197948626,0.008268571,0.090457205,932,0,0.185154783,0,37.20017391,0,0,25.40917565,0.092577391,32.47580522,0.123436522,4.198246957,0.3,0,0
1994,238,0,0.162330712,0.007852774,9.572870249,0.007852774,0,42.29017038,0.30588685,44.01426387,0.261839231,3.107241153,0.238280909,0.007852774,0,697,0.03246551,0.194793057,0,11.34471518,0,0.064931019,58.00980196,0.378560303,27.78453494,0.600611927,0.835068981,0.486982644,0,0
1995,608,0,0.106978802,0.006978802,14.35926719,0.006978802,0,35.18940749,0.041872809,47.35300283,0.111660825,2.705212823,0.09072442,0.006978802,0,533,0,0,0,19.1,0,0,25.5,0,55.1,0.1,0.2,0.1,0,0
1996,622,0,0.122723335,0.008441746,9.735964636,0.008441746,0,41.13957795,0.050650476,44.92977672,0.14220873,3.718704981,0.109742697,0.015582541,0,671,0,0,0,10.67226298,0,0,43.7892248,0.140199056,30.38221578,0.259800944,14.72124667,0,0,0
1997,192,0,0.096403433,0.008033619,13.48874418,0.008033619,0,38.19796552,0.048201716,44.91759074,0.12853791,2.969917724,0.104437052,0.008033619,0,741,0,0,0,34.03589793,0,0,17.15298672,0,48.49772532,0,0.250712033,0,0,0
1998,467,0,0.284027762,0.007485984,11.08131347,0.007485984,0,44.20020997,0.044915903,41.03669139,0.119775741,3.090832076,0.09731779,0.007485984,0,176,0,0,0,15.92604044,0,0,52.97291686,0,29.41916765,0,1.306927192,0,0,0
1999,220,0,0.132597514,0.008544244,9.62608877,0.008544244,0,39.95526222,0.051265463,46.79113229,0.136707902,3.150618528,0.11107517,0.008544244,0,366,0,0.153360882,0,7.30630854,0,0,20.11651056,0.153360882,71.50365473,0,0.766804408,0,0,0
2000,30,0,0.109090909,0.009090909,8.354545455,0.009090909,0,41.02727273,0.054545455,46.85454545,0.145454545,3.281818182,0.118181818,0.009090909,0,556,0,0.047812314,0,17.57420313,0,0,35.79433775,0,43.39675312,0,3.186893684,0,0,0
2001,1154,0,0,0,4.723249521,0,0,30.16135801,0,60.50031398,0,4.297585195,0.102738992,0,0,643,0,0,0,14.05745685,0,0,35.06863684,0,47.00767876,0,3.822986967,0,0,0
2002,2212,0,0,0,7.883543279,0,0,32.97121024,0.005651977,53.77291884,0,5.178805088,0,0,0,2153,0,0.130642617,0,27.96434667,0,0,36.98740243,0.036187164,32.4353298,0,2.492000647,0,0,0
2003,2346,0,0.200136156,0,6.858750586,0,0,44.07200896,0,41.87028139,0,6.667735418,0,0,0,1854,0,0.14895864,0,23.71428478,0,0,44.12863495,0,28.88766389,0,3.158878535,0,0,0
2004,2707,0,0.12471739,0,16.35326205,0,0,35.69761585,0.295147519,44.98168945,0,2.546875251,0,0,0,2776,0,0.408495632,0,47.15588185,0,0,28.483126,0.048946331,23.16270861,0,0.77984093,0,0,0
2005,3232,0,0,0,7.189348055,0,0,49.66405421,0.010490768,41.14065502,0.190119951,1.711798825,0.094143897,0,0,2197,0,0.206264862,0,22.18239751,0,0,45.50122063,0,30.77747376,0.158942329,1.206816525,0.036571447,0,0
2006,2112,0,0.22585559,0,7.996845893,0,0,35.42812191,0.096669186,51.96817045,0.193338372,3.994704123,0.096669186,0,0,2798,0,0.379769423,0,33.01434417,0,0,28.1511578,0,33.59878219,0,4.803655394,0,0,0
2007,2085,0,0,0,6.576057327,0,0,37.03005599,0,52.61041811,0.2984777,2.600556709,0.696447967,0,0,2518,0,0.127718675,0,41.6153312,0,0,30.12181253,0,25.98390657,0.119123664,1.773263345,0.28078281,0,0
2008,3257,0,0.181866901,0,11.11036236,0,0,53.14720844,0.027199648,32.0968285,0.663465846,2.500267957,0.181866901,0,0,1653,0,0.231035628,0,26.52595474,0,0,45.11950282,0.033474074,25.64367854,0.51518573,1.977375587,0,0,0
2009,3994,0,0.092301294,0,12.45588725,0,0,34.33816081,0.130794824,51.49825323,0.092301294,1.276903882,0.107698706,0,0,1305,0,0,0,22.68603377,0,0,39.15944213,0.614450697,36.19021776,0.180102765,0.973467091,0.203298263,0,0
2010,1985,0,0.096098146,0.096098146,8.884715359,0.096098146,0,48.79030535,0.096098146,39.12252564,0,2.894649947,0.015607415,0,0,1036,0,0.295576551,0,37.48492592,0,0,32.07181662,0.02357741,27.42044234,0,2.566373202,0.065428387,0,0
2011,1197,0,0.298387637,0,13.43705086,0,0,47.60487058,0,36.46076583,0.198925091,1.9,0,0.099462546,0,1215,0,0.140103295,0,40.02037535,0,0,30.60246599,0.210154943,27.70485197,0.286360661,0.854586455,0.105535753,0,0
2012,522,0,0,0,12.69406079,0,0,52.45896348,0,32.16663022,0.301403892,2.371922152,0.00561557,0,0,495,0.087298263,0,0,12.89226315,0,0,55.45331403,0,30.2058088,0.735943082,0.610989282,0,0,0
2013,734,0,0.199150357,0,5.695159995,0,0,30.32336518,0,61.98189965,0.497875893,1.20297375,0.199150357,0,0,343,0,0,0,24.75859066,0.182957245,0,30.86577593,0.182957245,43.06425178,0,0.63087886,0,0,0
2014,500,0,22.88744353,0,33.08992413,0,0,27.12102975,1.061870258,14.77362544,0,0.008473276,0,0,0,966,0,0.239494358,0,15.09242965,0,0,42.15936295,0.508141694,40.30199257,0.501342665,1.156006285,0,0,0
2015,664,0.388623765,1.263027235,0,32.43468306,0.014220294,0.388623765,36.261557,0.005688118,27.56632924,1.268715353,0.402844059,0.005688118,0,0,1983,0,0.545264723,0,45.29560734,0,0.052770056,35.04505139,0.700992307,17.84488332,0.13662163,0.346951968,0,0,0
2016,690,0,0.4,0,42.27672016,0,0,48.32315491,0.396636556,7.700124928,0.884864501,0.015135499,0.003363444,0,0,788,0,1.803472282,0,23.48586007,0,0,59.9181484,0.110196316,14.59967569,0.082647237,0,0,0,0
2017,443,0,0.013917217,0,36.45476905,0,0,47.19910018,0.596520696,14.53569286,0.596520696,0.006958608,0.596520696,0,0,1318,0,0.916965334,0,30.65304023,0,0,45.29677439,0.056679849,22.83358154,0.091756782,0.014014707,0,0,0.066801582
2018,773,0,1.279543355,0,49.03382605,0,0,34.69253003,0,14.99410057,0,0,0,0,0,1149,0,2.562473748,0,34.86641244,0,0.109660661,45.4118087,0.109660661,16.75843189,0.046365278,0.098633064,0,0,0
2019,1670,0.078830251,0.304386557,0.621428942,54.29821837,0.229563162,0.002924371,36.06776439,0.098537814,8.309663931,0.002924371,0.2,0.098537814,0,0,833,0,6.545358196,0,44.763197,0,0.12390283,31.94448774,1.208052591,14.34936082,0.867319809,0,0.229296719,0,0
2020,1222,0,0.402941908,0,38.96960029,0,0,43.97450347,0,16.33039971,0.010786995,0.198038728,0.014709538,0,0,771,0,1.214657127,0,31.83521258,0,0,40.6624394,0.060895438,25.21709756,0,0.895735336,0.119906489,0,0
2021,909,0,0.201342562,0.412166533,30.95036694,0.349066119,0.004027686,42.72672603,0,25.01342562,0.201342562,0.501342562,0.197314876,0,0,750,0,1.590845627,0,42.13352213,0,0,36.38811249,0.078872497,19.25898314,0,0.490397787,0.078872497,0,0
2022,993,0,0.995584528,0.522129509,57.87922642,0.136879618,0.006623207,34.03130813,0.593376793,5.477270752,0.105519339,0.307727075,0,0,0,1002,0,1.439742776,0,51.25070225,0,0,39.07936824,0,8.065360814,0.036635635,0.092945165,0,0,0
2023,628,0.003060706,0.499234824,0.186703053,31.53108329,0.097942585,0.003060706,55.1745619,0,12.60153035,0.003060706,0,0,0,0,457,0,0.447636244,0,34.07767017,0,0,55.22084154,0,9.886846137,0,0.367005909,0,0,0
